"name","sex","election_type","district","party","initials","position"
"Don Onésimo Eduardo González","0","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Doña María Llanos Prieto","1","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Doña Elena Merino","1","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Don Marco Moreno","0","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Don Manuel Gabriel González","0","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Doña Soledad Amada Velasco","1","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Don Francisco Tierraseca","0","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Doña Milagros Vázquez","1","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Doña María Carmen Navarro","1","congress","ALBACETE","PARTIDO POPULAR","PP","1"
"Don Francisco Molinero","0","congress","ALBACETE","PARTIDO POPULAR","PP","2"
"Don Fermín Gómez","0","congress","ALBACETE","PARTIDO POPULAR","PP","3"
"Doña María José Gil","1","congress","ALBACETE","PARTIDO POPULAR","PP","4"
"Doña Marta Martínez","1","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Don Rafael Soriano","0","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Doña Paula Martín","1","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Don Ángel Plaza","0","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Don Fernando Jesús Prieto del","0","congress","ALBACETE","PODEMOS","PODEMOS","1"
"Doña Diana Carol Paredes","1","congress","ALBACETE","PODEMOS","PODEMOS","2"
"Don Pau Albert Sanchís","0","congress","ALBACETE","PODEMOS","PODEMOS","3"
"Doña Ana Isabel Gómez","1","congress","ALBACETE","PODEMOS","PODEMOS","4"
"Don Laureano García","0","senate","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Don Luis Enrique Mínguez","0","senate","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Doña María Teresa García","1","senate","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Doña Matilde Valentín","1","senate","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Don Manuel Martínez","0","senate","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Doña Josefa Moreno","1","senate","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Don Vicente Aroca","0","senate","ALBACETE","PARTIDO POPULAR","PP","1"
"Don Antonio Marcial Marín","0","senate","ALBACETE","PARTIDO POPULAR","PP","2"
"Doña María Rosario Rodríguez","1","senate","ALBACETE","PARTIDO POPULAR","PP","3"
"Doña Carmen de la Cuadra","1","senate","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Don José Ignacio Roldán","0","senate","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Don Francisco Cañadas","0","senate","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Don Juan Miguel González","0","senate","ALBACETE","PODEMOS","PODEMOS","1"
"Don Roberto Antonio Serrano","0","senate","ALBACETE","PODEMOS","PODEMOS","2"
"Don José Ramón Cuartero","0","senate","ALBACETE","PODEMOS","PODEMOS","3"
"Julián López","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Patricia Blanquer","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Henrick Campos","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Antonia Moreno","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Carlos Sánchez","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Marisa Navarro","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","6"
"Toni Vaquer i","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","7"
"Lourdes Pastor","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","8"
"Rubén Ferrándiz","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","9"
"Rocío Guijarro","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","10"
"Javier Scotto Di Tella","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","11"
"Yolanda Venteo","1","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","12"
"José Manuel García-Margallo","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","1"
"Loreto Cascales","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","2"
"Joaquín Albaladejo","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","3"
"Gerardo Camps","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","4"
"María Dolores Alba","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","5"
"Antonio Luis Martínez-Pujalte","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","6"
"José Miguel Saval","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","7"
"Sabina Goretti Galindo","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","8"
"Julia de Micheo Carrillo","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","9"
"Manuel Aracil","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","10"
"Juan José Berenguer","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","11"
"María Magdalena Martínez","1","congress","ALICANTE/ALACANT","PARTIDO POPULAR","PP","12"
"Marta Martín","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"José Cano","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Lucía Granados","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"María Guadalupe Sanchez","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Juan Ignacio López-Bas","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Gonzalo Espinosa","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","6"
"Gustavo Antonio Ruiz","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","7"
"Gema Sanchez","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","8"
"Natalia Puig","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","9"
"Juan Carlos Gomis","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","10"
"María Luisa Bone","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","11"
"Ernesto Such","1","congress","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","12"
"David Rodríguez","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","1"
"Eli Aleix","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","2"
"Vicente Selva","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","3"
"Lorena Gallardo","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","4"
"Daniel Puerto","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","5"
"Ana María Tapia","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","6"
"Alberto Arranz","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","7"
"María Carmen Camús","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","8"
"Gerardo Romero","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","9"
"Ana María Loaisa","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","10"
"Sergio Sánchez","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","11"
"Trinidad Rubio","1","congress","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC","12"
"Raúl Estrada","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Manuela Martín","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Eduardo Ruiz","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Francisco Miguel Sánchez","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Ana Llorca","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Martín Enrique Florencio","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","6"
"María Mercedes Alfonso","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","7"
"David Anibal Rubio de","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","8"
"Juan Antonio Mora","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","9"
"María del Carmen Mascaró","1","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","10"
