"name","sex","election_type","district","party","initials","position"
"Onésimo Eduardo González Martínez","0","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"María Llanos Prieto Martínez","1","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Elena Merino Gómez","1","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Marco Moreno Montejano","0","congress","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Manuel Gabriel González Ramos","0","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Soledad Amada Velasco Baides","1","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Francisco Tierraseca Galdón","0","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Milagros Vázquez Torres","1","congress","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"María Carmen Navarro Lacoba","1","congress","ALBACETE","PARTIDO POPULAR","PP","1"
"Francisco Molinero Hoyos","0","congress","ALBACETE","PARTIDO POPULAR","PP","2"
"Fermín Gómez Sarrión","0","congress","ALBACETE","PARTIDO POPULAR","PP","3"
"María José Gil Martínez","1","congress","ALBACETE","PARTIDO POPULAR","PP","4"
"Marta Martínez Álvarez","1","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Rafael Soriano Olivares","0","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Paula Martín Arnesto","1","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Ángel Plaza Simón","0","congress","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Fernando Jesús Prieto del Campo","0","congress","ALBACETE","PODEMOS","PODEMOS","1"
"Diana Carol Paredes Choquehuanca","1","congress","ALBACETE","PODEMOS","PODEMOS","2"
"Pau Albert Sanchís Sáez","0","congress","ALBACETE","PODEMOS","PODEMOS","3"
"Ana Isabel Gómez Gómez","1","congress","ALBACETE","PODEMOS","PODEMOS","4"
"Laureano García Palomares","0","senate","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Luis Enrique Mínguez Vaquero","0","senate","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"María Teresa García Arce","1","senate","ALBACETE","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Matilde Valentín Navarro","1","senate","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Manuel Martínez Rodríguez","0","senate","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Josefa Moreno Docón","1","senate","ALBACETE","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Vicente Aroca Sáez","0","senate","ALBACETE","PARTIDO POPULAR","PP","1"
"Antonio Marcial Marín Hellín","0","senate","ALBACETE","PARTIDO POPULAR","PP","2"
"María Rosario Rodríguez Rueda","1","senate","ALBACETE","PARTIDO POPULAR","PP","3"
"Carmen de la Cuadra Vila","1","senate","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"José Ignacio Roldán Cortes","0","senate","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Francisco Cañadas Martínez","0","senate","ALBACETE","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Juan Miguel González Sánchez","0","senate","ALBACETE","PODEMOS","PODEMOS","1"
"Roberto Antonio Serrano Gómez","0","senate","ALBACETE","PODEMOS","PODEMOS","2"
"José Ramón Cuartero Tendero","0","senate","ALBACETE","PODEMOS","PODEMOS","3"
"Julián López Milla","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Patricia Blanquer Alcaraz","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Henrick Campos Arteseros","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Antonia Moreno Ruiz","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"Carlos Sánchez Heras","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Marisa Navarro Forcada","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","6"
"Toni Vaquer i Romá","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","7"
"Lourdes Pastor Verdú","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","8"
"Rubén Ferrándiz Marcos","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","9"
"Rocío Guijarro Sánchez","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","10"
"Javier Scotto Di Tella Manresa","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","11"
"Yolanda Venteo Climent","","congress","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","12"
