"name", "sex", "election_type", "party", "initials", "position", "account"
"Onésimo Eduardo González Martínez", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/Cs_Albacete"
"María Llanos Prieto Martínez", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/llanosprieto1"
"Elena Merino Gómez", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/ElenaMerin0"
"Marco Moreno Montejano", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/ucacb"
"Manuel Gabriel González Ramos", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "1", "https://twitter.com/PSOE_Albacete"
"Soledad Amada Velasco Baides", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "2", "https://twitter.com/Borjabrutal"
"Francisco Tierraseca Galdón", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "3", "https://twitter.com/ftierraseca"
"Milagros Vázquez Torres", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "4", "https://twitter.com/ivazquez91"
"María Carmen Navarro Lacoba", "1", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/nnggalbacete"
"Francisco Molinero Hoyos", "0", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/nnggalbacete"
"Fermín Gómez Sarrión", "0", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/nnggalbacete"
"María José Gil Martínez", "1", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/josemagarrido"
"Marta Martínez Álvarez", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/marta_alvarez"
"Rafael Soriano Olivares", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/Alexsori23"
"Paula Martín Arnesto", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "https://twitter.com/paulanmartinez"
"Ángel Plaza Simón", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "No result found for Ángel Plaza Simón of UPyD in ALBACETE"
"Fernando Jesús Prieto del Campo", "0", "congress", "PODEMOS", "PODEMOS", "1", "https://twitter.com/nnggalbacete"
"Diana Carol Paredes Choquehuanca", "1", "congress", "PODEMOS", "PODEMOS", "2", "No result found for Diana Carol Paredes Choquehuanca of PODEMOS in ALBACETE"
"Pau Albert Sanchís Sáez", "0", "congress", "PODEMOS", "PODEMOS", "3", "https://twitter.com/cezu90"
"Ana Isabel Gómez Gómez", "1", "congress", "PODEMOS", "PODEMOS", "4", "https://twitter.com/AnaGomez60"
"Sonia Ferrer Tesoro", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "1", "https://twitter.com/soniafetesoro"
"Juan Jiménez Tortosa", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "2", "https://twitter.com/juanjtortosa"
"Isabel Arévalo Barrionuevo", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "3", "https://twitter.com/2imori"
"Francisco Joaquín Giménez Felices", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "4", "https://twitter.com/peinevic"
"María López Cervantes", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "5", "https://twitter.com/Eldi758Lpez"
"Rubén Rodríguez Giménez", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "6", "https://twitter.com/ruubenrod"
"Diego Clemente Giménez", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/diego__clemente"
"Arturo Ángel Ortiz Alarcón", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/CiudadanoOrtiz"
"Joaquín Fernández Cortés", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/joaquinfdezoft"
"María Dolores Martín Arévalo", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/MaloleLeon"
"Almudena Serrano Felices", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "5", "https://twitter.com/almujjimenez"
"Irene Gálvez González", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "6", "https://twitter.com/josefagalvez"
"Rafael Antonio Hernando Fraile", "0", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/Rafa_Hernando"
"Juan José Matarí Sáez", "0", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/saez_juanma"
"Eloísa María Cabrera Carmona", "1", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/antoniodavidfv"
"Jesús Caicedo Bernabé", "0", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/AnaEnriquee"
"Magdalena Elizabeth Martínez López", "1", "congress", "PARTIDO POPULAR", "PP", "5", "https://twitter.com/leonel_luna"
"Dolores Moreno Sobrino", "1", "congress", "PARTIDO POPULAR", "PP", "6", "https://twitter.com/dolormoreno"
"Matías Campillo Boj", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/MejorandAlmeria"
"Salvador Marcet Orozco", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/SalvaMarcet"
"Verónica Tévar Gómez", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "https://twitter.com/QUEENALLDC"
"Fernando Ramón Sánchez Rodríguez", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/jramon"
"Sandra Cabrera Garzón", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "5", "https://twitter.com/SandraCabreraR"
"Ana María Hernández Porcel", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "6", "https://twitter.com/valls_ana"
"David Bravo Bueno", "0", "congress", "PODEMOS", "PODEMOS", "1", "https://twitter.com/dbravo"
"María Remedios Giménez Rodríguez", "1", "congress", "PODEMOS", "PODEMOS", "2", "https://twitter.com/mmargimenez"
"Eduardo Valderrama Cerezo", "0", "congress", "PODEMOS", "PODEMOS", "3", "https://twitter.com/eduvalder"
"María del Consuelo González García", "1", "congress", "PODEMOS", "PODEMOS", "4", "https://twitter.com/mar5998"
"Antonio Almagro Ramírez", "0", "congress", "PODEMOS", "PODEMOS", "5", "https://twitter.com/almagro_ramirez"
"Noelia Márquez Ortiz", "1", "congress", "PODEMOS", "PODEMOS", "6", "https://twitter.com/noelia_ccss"
"Sonia Barreiro Martínez", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "1", "https://twitter.com/AhAlmComun"
"Roberto Álvarez Gómez", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "2", "https://twitter.com/roccoovictoria"
"Angelina Concepción Olea González", "", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "3", "https://twitter.com/AhAlmComun"
"Juan Antonio López Escobar", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "4", "https://twitter.com/antoniojuanpf"
"María del Pilar del Barco Martínez", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "5", "https://twitter.com/EmilianoDomene"
"Manuel Pérez Galdeano", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN", "IULV-CA, UPeC", "6", "https://twitter.com/lavodealmeria"
"Patricia Sierra Rojas", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "1", "https://twitter.com/PatzzBc"
"José Ignacio Sánchez Amor", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "2", "https://twitter.com/Josepiraguista"
"María Soledad Pérez Domínguez", "1", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "3", "https://twitter.com/msoledadperez"
"Luis Antonio Aguilar Yuste", "0", "congress", "PARTIDO SOCIALISTA OBRERO ESPAÑOL", "PSOE", "4", "https://twitter.com/LuisReina45"
"Susana Bruna Pérez (Independiente)", "", "congress", "Independiente", "PSOE", "5", "No result found for Susana Bruna Pérez (Independiente) of PSOE in BADAJOZ"
"Juan Francisco Ceballos Fabián", "0", "congress", "Independiente", "PSOE", "6", "https://twitter.com/jpsamino"
"María Teresa Angulo Romero", "1", "congress", "PARTIDO POPULAR", "PP", "1", "No result found for María Teresa Angulo Romero of PP in BADAJOZ"
